date,z_Money_supply,z_top_tier_home_value,z_mid_tier_home_value,z_bottom_tier_home_value,z_single_family_home_value,z_condo_coop_value
1996-01-01,-1.2832452123527849,-1.7518480437625616,-1.7024154854160098,-1.6830298656742346,-1.6926352169788845,-1.778344318456865
1996-02-01,-1.279808125231467,-1.752094002602135,-1.7021090498065474,-1.682317072384234,-1.6924869214228409,-1.777842046929933
1996-03-01,-1.2735768593712367,-1.7520708914355465,-1.7014119757998913,-1.6812044449726764,-1.6918619926426794,-1.7773962842351778
1996-04-01,-1.2709063168597092,-1.7514320427639665,-1.699527575481353,-1.6785650513168495,-1.6902207391866402,-1.774925139862485
1996-05-01,-1.2679885018934107,-1.7508727525325223,-1.6973300390662651,-1.6756699173371996,-1.688313336521513,-1.7725480892661618
1996-06-01,-1.2647986872268644,-1.7496608869972217,-1.694488585842081,-1.6723243594038584,-1.6859153843337544,-1.769734737919076
1996-07-01,-1.2611637821417299,-1.7482869631604478,-1.6915374679792337,-1.6689439119311145,-1.6833817482354803,-1.7677309084468988
1996-08-01,-1.2594576022038095,-1.7449819262706001,-1.6873038768878634,-1.6644923555987026,-1.6795212800507262,-1.7646528854998023
1996-09-01,-1.2571332411289617,-1.7412862406315675,-1.6829204182353057,-1.6598293686575092,-1.6753694393658272,-1.761162479493702
1996-10-01,-1.2523361555064034,-1.736314818596843,-1.6778582002407976,-1.6545694216971327,-1.6705128686264734,-1.7567674065092131
1996-11-01,-1.2468219797650089,-1.73127266238559,-1.6727274139284285,-1.6492055039093358,-1.6655656245046118,-1.7512445223671804
1996-12-01,-1.2410110770778893,-1.7254416450214456,-1.6671291569669306,-1.643346852452806,-1.6601058692015256,-1.7448085606298775
1997-01-01,-1.2370547178015523,-1.719696629210546,-1.662366897444367,-1.6381294707305012,-1.655256908937922,-1.7393274667404783
1997-02-01,-1.234161630080731,-1.7132853114635136,-1.656848822978348,-1.6323740923106038,-1.649593627769063,-1.7340747736657858
1997-03-01,-1.2304772705046423,-1.7067330856341283,-1.6511223633639118,-1.6266403454051366,-1.6438331499527676,-1.7285450558975366
1997-04-01,-1.2265209112283055,-1.7002434700560467,-1.644519033339308,-1.620394071165841,-1.6373303245875959,-1.7241505085766025
1997-05-01,-1.2235041872800987,-1.692828007137658,-1.6376601914071063,-1.6138107639759138,-1.630553304653258,-1.719182987980571
1997-06-01,-1.219350010039945,-1.68559169077725,-1.6310175518582568,-1.607428071637553,-1.6239552396201284,-1.7137379020446986
1997-07-01,-1.2149238330995433,-1.6779364319970447,-1.6239896343018836,-1.6004972646351734,-1.6170481892715467,-1.7048557649535718
1997-08-01,-1.206640205864713,-1.6721495359509333,-1.6183976311283341,-1.5947230458639987,-1.6115912607165963,-1.6969521505703304
1997-09-01,-1.2027580283248076,-1.6661390918934555,-1.6125818316860663,-1.5887272785176156,-1.6059336330440088,-1.6892774626653502
1997-10-01,-1.1979856699477263,-1.6608640031365247,-1.6069554326788014,-1.583013767545002,-1.6004582219050938,-1.6833595423616334
1997-11-01,-1.1924220397153775,-1.654310656765729,-1.6003156966743566,-1.5763606812762692,-1.5939084290324361,-1.6774184928614906
1997-12-01,-1.1879464082840214,-1.6470554312690213,-1.592929973107518,-1.569010153114873,-1.586583019959766,-1.6716054424370235
1998-01-01,-1.1821849600878558,-1.6378417795223625,-1.583078470292527,-1.559740351390925,-1.5769953426098522,-1.6629793034972475
1998-02-01,-1.1740991508168426,-1.6291956820000493,-1.5736432910752312,-1.550616736837075,-1.5678647286892704,-1.6537573249177258
1998-03-01,-1.1678184304656578,-1.6201649586386309,-1.5641223456232172,-1.5412973919671746,-1.5586767100373164,-1.6435594519480947
1998-04-01,-1.1614140738870875,-1.6097771195615946,-1.5539532397202847,-1.528747624643963,-1.5494636855364694,-1.6267161403144392
1998-05-01,-1.1554300804816282,-1.6042548113560036,-1.5458923304046084,-1.5149613720443136,-1.5425081455852518,-1.5589289337301473
1998-06-01,-1.1505340858771613,-1.5950310747366516,-1.5380628112430166,-1.5064483244300138,-1.534194026991568,-1.5516516474728497
1998-07-01,-1.1456380912726947,-1.5845117121115742,-1.529647669509988,-1.4976599983498253,-1.5251743085747724,-1.545623074990777
1998-08-01,-1.1394810071488952,-1.572864104353944,-1.5195797409620748,-1.4875483120400859,-1.5145890065751093,-1.539412097255072
1998-09-01,-1.1298621086583014,-1.5600039307226317,-1.5081755119393707,-1.4765895077136453,-1.5029191030599818,-1.5304455911633457
1998-10-01,-1.1199217559765051,-1.546800451216721,-1.4963319543133045,-1.4649908292345555,-1.4908615001659302,-1.5191887689618941
1998-11-01,-1.1103770392223427,-1.5348483363308263,-1.4857590323885732,-1.4548163417538909,-1.4801842201307736,-1.5090697455255333
1998-12-01,-1.1032308652794593,-1.5242468940474405,-1.476227589506789,-1.4457768109900018,-1.470733096460032,-1.4978833622404697
1999-01-01,-1.0964556000187322,-1.515479918120485,-1.4677836356792848,-1.437546019749471,-1.462576840877621,-1.4877617104863332
1999-02-01,-1.0908425152954295,-1.5047267825436723,-1.4577463060224043,-1.4276817002740982,-1.4528652214940634,-1.475550283268755
1999-03-01,-1.0891857898484634,-1.493064047477002,-1.4468231719725728,-1.4168708275947253,-1.4421457576790353,-1.4646488096305752
1999-04-01,-1.0820890703965342,-1.478071063338752,-1.4338005519686992,-1.4046165746702561,-1.4292049047136492,-1.4522252771684996
1999-05-01,-1.0760061680091664,-1.463702360833746,-1.421445523828297,-1.392929974551871,-1.4169696515713752,-1.439598312910587
1999-06-01,-1.0706156284951573,-1.4477049513887872,-1.4077662560898612,-1.3803669492036863,-1.4036367503837794,-1.4237566531812422
1999-07-01,-1.0638403632344307,-1.431828280280794,-1.3938303596959785,-1.3675457412639203,-1.3900159557706675,-1.4086603843730796
1999-08-01,-1.0595872770123687,-1.4167712852144771,-1.3811094849606063,-1.3556745754820945,-1.3774799801151845,-1.3950964248281377
1999-09-01,-1.055630917736032,-1.4029183118935882,-1.3693860894029735,-1.3444614264134065,-1.3658887906635286,-1.3833483700344118
1999-10-01,-1.0497458333124807,-1.388862520577425,-1.357686368899716,-1.33328560915188,-1.354308690762252,-1.370095077650555
1999-11-01,-1.0450476566718307,-1.371655206544633,-1.3428843228750063,-1.3190311389334437,-1.3396639609975118,-1.354037370200049
1999-12-01,-1.0382476641656269,-1.3532155770958016,-1.3272674976204724,-1.3040593397848852,-1.3239728995382218,-1.3395372038634108
2000-01-01,-1.0312745809410833,-1.3326627466147132,-1.3103668590399982,-1.2880921420771627,-1.3068497639849366,-1.3236019760212516
2000-02-01,-1.0280105845381051,-1.312795267273734,-1.2939111328021256,-1.2730802199582902,-1.2902597966184837,-1.307478297794577
2000-03-01,-1.0204193201766338,-1.2928095708139626,-1.2773656200372818,-1.257941648811386,-1.2738074701420243,-1.2882542559197117
2000-04-01,-1.006572062709455,-1.2744277893154405,-1.261472288015609,-1.2431544153262684,-1.2582159971939777,-1.2696021359928347
2000-05-01,-1.0095887866576618,-1.2553981948140558,-1.2449622878323283,-1.227713700768135,-1.2420265582941414,-1.2499554606196408
2000-06-01,-1.0051873369627373,-1.2372524273500902,-1.2287236573760867,-1.2126522355033107,-1.2260391231649281,-1.230984262914796
2000-07-01,-1.0008353417587668,-1.2187228744530774,-1.2122596672041392,-1.1975000574360388,-1.2099181785468427,-1.2105020453207138
2000-08-01,-0.9938869857797,-1.1995861281793274,-1.1953413840076688,-1.1818514012230645,-1.1933262542009107,-1.1903013205604072
2000-09-01,-0.9850593591443735,-1.1793274398184577,-1.1777023517501664,-1.1653353910605346,-1.1759998102240172,-1.1694608632535
2000-10-01,-0.9811277271135139,-1.158819711129136,-1.1599366802867124,-1.1487478573422287,-1.1585853021705872,-1.1503748080618583
2000-11-01,-0.9784324573565093,-1.1383636674123672,-1.1419677607149419,-1.1322259159580008,-1.141051853253292,-1.1310359087001964
2000-12-01,-0.9674041058737205,-1.116818457444732,-1.1229477580687321,-1.1147797506749904,-1.1226386333392913,-1.1096419276697318
2001-01-01,-0.9548921196623052,-1.0944752819252457,-1.103047758118382,-1.0961162893622143,-1.1032349643669628,-1.0878384547298163
2001-02-01,-0.9454215846445739,-1.0765417169908662,-1.0878168809200799,-1.0787726993250482,-1.0893952054944134,-1.0552276019280902
2001-03-01,-0.9311292367588073,-1.0555569177960857,-1.0683955190973373,-1.0606269987770105,-1.0702205031210792,-1.0341561154887005
2001-04-01,-0.91530379965346,-1.0348015494550749,-1.049166014554863,-1.0428682232209505,-1.0512417161377672,-1.0117092303572996
2001-05-01,-0.9160456170177732,-1.0141635578267996,-1.0294971814090266,-1.0248261446049396,-1.031915021691596,-0.9897067937617654
2001-06-01,-0.9060805370904997,-0.9938594875388105,-1.0103762247573673,-1.007065973467303,-1.0132363048950006,-0.9690621461291464
2001-07-01,-0.8986623634473682,-0.973815803061053,-0.9914305975178277,-0.9894645497339499,-0.994782640738442,-0.9482453436822209
2001-08-01,-0.8902798272306294,-0.9532395812780234,-0.9720903115888423,-0.9715135328157803,-0.9759547586171454,-0.9264447618918584
2001-09-01,-0.8628078575055657,-0.9329157614476767,-0.9530017406247716,-0.9540359669473074,-0.9573656279922365,-0.9042215466031672
2001-10-01,-0.8656267634899556,-0.9124154563451984,-0.9335042165988026,-0.9363853489633965,-0.9383718374995893,-0.8812808005617155
2001-11-01,-0.8548456844619379,-0.8927594791954251,-0.9149271161490683,-0.9194817160181007,-0.9202408575148328,-0.8587973818132324
2001-12-01,-0.8417155171135949,-0.8733895202406442,-0.8963466654557906,-0.9025278421360652,-0.9019946331830043,-0.8369957486957602
2002-01-01,-0.8366711590362655,-0.8550286088258903,-0.8787033895564661,-0.886449346797647,-0.8846960218031397,-0.8166226062893684
2002-02-01,-0.8294013488659965,-0.836137261121008,-0.8604912423034239,-0.86974214195919,-0.8668174921711209,-0.7974421944895803
2002-03-01,-0.8264588066542211,-0.8169740420564389,-0.8423697749756307,-0.8528570004697776,-0.849132703507482,-0.7777876341630588
2002-04-01,-0.8263846249177897,-0.796626130585769,-0.8233013054728227,-0.8351959156240457,-0.8304922565318009,-0.7577745712919354
2002-05-01,-0.8199308138482652,-0.7765286601203149,-0.8047813825129007,-0.8182109900519412,-0.8123554056086089,-0.7375638589240812
2002-06-01,-0.813749002478989,-0.755582659671867,-0.7855369135492642,-0.8008803091443546,-0.7934222814797974,-0.7176067792215797
2002-07-01,-0.8032151959057422,-0.7337489102910646,-0.7656154720402346,-0.7827562401107465,-0.7737237609326955,-0.6971913208989999
2002-08-01,-0.7927308438234495,-0.7110268517072021,-0.7446235160442115,-0.763771097244676,-0.7530850204672155,-0.674262139455762
2002-09-01,-0.7866973959270359,-0.7127302147186206,-0.7400140276272404,-0.7533991349709913,-0.7491073509559106,-0.6727127461269994
2002-10-01,-0.775669044444247,-0.6893181827613307,-0.7179019735397788,-0.7335951346151348,-0.727213534318165,-0.6480076103627356
2002-11-01,-0.7632806944602174,-0.6643836151627176,-0.6941554473021389,-0.7121917977730515,-0.7035045104929502,-0.6229166375490016
2002-12-01,-0.7580137911735939,-0.6390232418281702,-0.6702552565606277,-0.6903809511107425,-0.679613270134063,-0.5976238099300958
2003-01-01,-0.7499774363935348,-0.6131922411012725,-0.6459802852413636,-0.6678939451748057,-0.6554341363496594,-0.5713243366031056
2003-02-01,-0.7410261735308228,-0.5876682687208122,-0.6221055563507848,-0.6457495545158053,-0.6317255474087734,-0.5444124652343826
2003-03-01,-0.7358829064715848,-0.5624857813351583,-0.5984354156659404,-0.6244390238485332,-0.6081874331246885,-0.5174595921083583
2003-04-01,-0.7266596439086246,-0.5383235469036346,-0.5752338623780724,-0.6032380463349862,-0.5850563705721492,-0.49148024788644545
2003-05-01,-0.7117243876404531,-0.5139755827333433,-0.5514980569197717,-0.5811711104534601,-0.5613499560529062,-0.46431500668414677
2003-06-01,-0.7026494885503556,-0.49007555499184274,-0.5278989413980539,-0.5587713283660305,-0.5378614185822788,-0.4353378032072955
2003-07-01,-0.6911018649125473,-0.46576877071838296,-0.5037191169954301,-0.5358684391204116,-0.5138218826673477,-0.405534256621771
2003-08-01,-0.6767353352903493,-0.43959040215427475,-0.4780191754222516,-0.511459019563377,-0.48811413046800556,-0.3769959822134583
2003-09-01,-0.6836589640239388,-0.41108578962226555,-0.45035733122989113,-0.48507136312219945,-0.4604054754728925,-0.35005572501275756
2003-10-01,-0.6859091433623552,-0.3804700770731437,-0.4212303138610922,-0.4571164685710456,-0.43121777887629914,-0.3227248997905907
2003-11-01,-0.6846233265975458,-0.3507129793797084,-0.39325622697046003,-0.43061856118535535,-0.4033869213848569,-0.2947228022085162
2003-12-01,-0.6850684170161337,-0.3209866965750573,-0.3653277033920228,-0.40424765172309096,-0.3757230594755876,-0.2656236447868731
2004-01-01,-0.6829666011505798,-0.2894403743846349,-0.33594517411562547,-0.3771203370465732,-0.3464723046513504,-0.23412483323603697
2004-02-01,-0.673372429905463,-0.2553904825481221,-0.30403120081761964,-0.34739933401084583,-0.3147244440124396,-0.1997322438141783
2004-03-01,-0.6645448032701364,-0.21985671374894505,-0.2704622072090333,-0.31600572645614483,-0.28124530886147453,-0.1652618561861598
2004-04-01,-0.6543819053790462,-0.1842142524329625,-0.236660036649807,-0.28422624059564816,-0.24761352931117947,-0.13027158730211216
2004-05-01,-0.6353913808526296,-0.14498297711496,-0.19956256654101115,-0.24948881958457642,-0.210563993822619,-0.09396085156756334
2004-06-01,-0.6348226542066561,-0.10180795630320676,-0.15909251793157292,-0.21157924165099595,-0.1700145092576926,-0.05458181766168888
2004-07-01,-0.6314350215762927,-0.0563882109111569,-0.11681825149907545,-0.17184912755137352,-0.12763590120678273,-0.01490788650138255
2004-08-01,-0.6249812105067681,-0.014172373546668827,-0.07750828055403063,-0.1350650861589294,-0.08834714631039287,0.023050278814960374
2004-09-01,-0.6164008563262128,0.02616935830899683,-0.03983010156432936,-0.09967592855181229,-0.05091186842238717,0.06243246670216628
2004-10-01,-0.6094277731016691,0.06655198992614109,-0.001493041344370668,-0.0637543565734071,-0.012865578052734436,0.10342371073164236
2004-11-01,-0.6028750530502363,0.10888996630435767,0.038966286485728203,-0.025421219631475808,0.027391664243389974,0.14565131544279766
2004-12-01,-0.5983005126369718,0.15250564002573402,0.08095064517691189,0.014488226700677332,0.06922710176791093,0.18723761061668687
2005-01-01,-0.5967674234173911,0.1948380136968985,0.12190044866180608,0.05436836581973167,0.10988748183662392,0.22707186916130895
2005-02-01,-0.5946903347973144,0.23840662467904006,0.1639795075704917,0.09516889098823436,0.15191818242467434,0.2659357527831511
2005-03-01,-0.5924648827043749,0.24683575737077262,0.18029675707522566,0.11794373562424432,0.16813001786743217,0.2673928921579871
2005-04-01,-0.588953613846626,0.2930457645924772,0.22398348618574124,0.15957463183053486,0.21205029086313787,0.3104978293426639
2005-05-01,-0.5846510731336095,0.33842657117051755,0.26658763993250667,0.20047110323239492,0.2545624084029204,0.3541418345031317
2005-06-01,-0.5766394455990276,0.38346295133255,0.3094971125408875,0.24179287811957603,0.29746548695409075,0.396306885251225
2005-07-01,-0.5688256360282623,0.4289520302243666,0.3530156594255095,0.2835078581158276,0.34096631401488703,0.44079484324946344
2005-08-01,-0.5607398267572489,0.4764072390883297,0.3986482099861973,0.32749379823181174,0.3867309314480765,0.4890276284144876
2005-09-01,-0.552283108804079,0.5251696995751514,0.44545513258373126,0.37207041824988624,0.4336179853333169,0.5388954900677608
2005-10-01,-0.5438511180963861,0.5709183238711415,0.48908892784625674,0.41449051583747,0.4774104023364217,0.5860296384025518
2005-11-01,-0.5397958498381409,0.6130792547065216,0.5294236266165302,0.4540730471854179,0.5178568193154762,0.6284443793393354
2005-12-01,-0.5331936752957539,0.6515099031868244,0.5660424585977176,0.4903860797959233,0.5546760835520567,0.6680867706863333
2006-01-01,-0.5227093232134611,0.6864535668657731,0.5998616037242321,0.52340833104995,0.5886568577760324,0.7045707125622984
2006-02-01,-0.5167006025625247,0.7184911063969607,0.6309167979272065,0.554010992746388,0.6195932242578234,0.7402009768247237
2006-03-01,-0.5131398792138214,0.7487413823786296,0.6610926648747488,0.58454213088705,0.6495265300357582,0.7730843861797877
2006-04-01,-0.5039166166508612,0.7770619459839875,0.6893186900798655,0.6136919921627522,0.6774728493164363,0.8032435441603615
2006-05-01,-0.5022598912038952,0.8009962903061804,0.7139503506617478,0.6393406881593767,0.7020055440599711,0.829774046619834
2006-06-01,-0.49283881067711827,0.8210480987091632,0.7344174351692595,0.6608413668163943,0.7220665406949399,0.853513538433314
2006-07-01,-0.4826017310495966,0.8355630318682198,0.7501450418103044,0.6782474091290918,0.7374318737921274,0.8710927790441594
2006-08-01,-0.47498573944264816,0.8467585011667708,0.7626539578041464,0.6929369519038813,0.7495964582310083,0.8828413595014406
2006-09-01,-0.4682846559183528,0.8530277902900412,0.7707501563518164,0.7041148625377724,0.7577342312294552,0.8879960163231004
2006-10-01,-0.4561435783890941,0.8556530787468308,0.7755378777253118,0.7121415499727962,0.7624335912840291,0.8905615173039402
2006-11-01,-0.4475384969630614,0.8575722860474196,0.7795554897828991,0.7189366366668981,0.7662836222448981,0.894453267434387
2006-12-01,-0.4368810541624292,0.8588806582116872,0.7830638648218465,0.7247412093373532,0.7695763489386984,0.8993022508987353
2007-01-01,-0.42753415537208345,0.861710305408191,0.787409130698006,0.7312781134398751,0.774003688845749,0.9040277034276272
2007-02-01,-0.42360252334122384,0.8636954845843141,0.7907636178835132,0.7372728341000762,0.7774938530247223,0.9070812830194098
2007-03-01,-0.4152694416154392,0.8650132412828939,0.7934855790879725,0.7426364029924785,0.78034517212502,0.908997326677879
2007-04-01,-0.39736691589001516,0.8641423004716943,0.7945368855119811,0.7462024628148464,0.7813519293456692,0.9106994252694084
2007-05-01,-0.3939545560141746,0.8606705830470565,0.7930522809229893,0.747323812611254,0.7799518192498246,0.9102481431073242
2007-06-01,-0.3857451105157757,0.8534809092228539,0.7883382649074548,0.7455552618589225,0.775421194314737,0.9052732632215207
2007-07-01,-0.3782527551362128,0.8448629653034765,0.7815957881010035,0.7418161499211178,0.7687091895875211,0.8986690891465745
2007-08-01,-0.35936113959170457,0.8366662048867162,0.7752271984740273,0.7380540108873059,0.762216149119742,0.8928980918065179
2007-09-01,-0.35483605366939425,0.827000694816331,0.7669695181875521,0.7322082685603557,0.7535726056471636,0.887003826362782
2007-10-01,-0.3514731482845079,0.8158601320468872,0.7572752534695452,0.7243759158598051,0.743643544099319,0.8798894958075766
2007-11-01,-0.34531606416070876,0.8002825054277828,0.7430871954116076,0.7118467333648416,0.7291888587861656,0.868209777276018
2007-12-01,-0.33787316327210004,0.7825133799453735,0.7265226979333502,0.6972744194424452,0.7124329830483616,0.8538155321457391
2008-01-01,-0.32954008154631564,0.7603480903747812,0.7054208539490947,0.6781437871970651,0.6913491384725856,0.8333693225051844
2008-02-01,-0.3085961046272076,0.7323059813098971,0.6791270258704056,0.6544314606372993,0.6653426207395131,0.8065231590808526
2008-03-01,-0.2923255771032724,0.7016940505880355,0.6501152568795096,0.6272511138608889,0.6366893969827373,0.77597921537792
2008-04-01,-0.2817175887935943,0.6670876698736045,0.6176192346031809,0.5971379524022732,0.6043683587987652,0.7430889723966391
2008-05-01,-0.2787255920908645,0.6341846521705928,0.5866234513857148,0.568278720989797,0.5731097430295005,0.7117549563703368
2008-06-01,-0.27439832413237114,0.5999406265347359,0.5540345156884412,0.5378826053666239,0.5402329226736104,0.6813277099766444
2008-07-01,-0.2629248822309944,0.5642345744937158,0.5206390646954181,0.5065982020702541,0.5066281059516874,0.6521357729375199
